run_id;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;dataset_size;abs_0;rel_0;abs_1;rel_1
-1;0.528;0.558;0.460;0.714;0.656;0.395;8;4;0.50;4;0.50
-1;0.651;0.500;1.000;0.651;0.000;0.000;16;9;0.56;7;0.44
-1;0.651;0.500;1.000;0.651;0.000;0.000;24;13;0.54;11;0.46
-1;0.651;0.500;1.000;0.651;0.000;0.000;32;20;0.62;12;0.38
-1;0.528;0.558;0.460;0.714;0.656;0.395;8;4;0.50;4;0.50
-1;0.651;0.500;1.000;0.651;0.000;0.000;16;9;0.56;7;0.44
-1;0.651;0.500;1.000;0.651;0.000;0.000;24;13;0.54;11;0.46
-1;0.651;0.500;1.000;0.651;0.000;0.000;32;20;0.62;12;0.38
