dataset_name;run_id;execution_time;device;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;dataset_size;abs_0;rel_0;abs_1;rel_1;active_learning_cycles;samples_per_cycle;initial_sample;active_sampling_strategy;balancing_factor;random_seed;unlabeled_samples;model_name;output_dir;batch_size;num_epochs;max_steps;sampling_strategy;num_iterations;body_learning_rate;head_learning_rate;loss;distance_metric;margin;end_to_end;use_amp;warmup_proportion;l2_weight;max_length;samples_per_label;show_progress_bar;seed;report_to;run_name;logging_dir;logging_strategy;logging_first_step;logging_steps;evaluation_strategy;eval_steps;eval_delay;eval_max_steps;save_strategy;save_steps;save_total_limit;load_best_model_at_end;metric_for_best_model;greater_is_better
datd_train;0;905.4748456478119;cpu;0.651;0.500;1.000;0.651;0.000;0.000;32;20;0.62;12;0.38;3;8;balanced;max_entropy;0.5;42;20;thenlper/gte-small;checkpoints;(16, 2);(1, 1);-1;oversampling;None;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79ed84012d40>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_09-14-36_bdc7846a3092;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
datd_train;1;901.9316744804382;cpu;0.651;0.500;1.000;0.651;0.000;0.000;32;20;0.62;12;0.38;3;8;balanced;max_entropy;0.5;42;20;thenlper/gte-small;checkpoints;(16, 2);(1, 1);-1;oversampling;None;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79ed84012d40>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_09-14-36_bdc7846a3092;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
