model;train_time;infernce_time;inference_samples;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;recall_2;precision_2;recall_3;precision_3;recall_4;precision_4;recall_5;precision_5;dataset_size;abs_4;rel_4;abs_1;rel_1;abs_0;rel_0;abs_3;rel_3;abs_5;rel_5;abs_2;rel_2
thenlper/gte-small;26.445104837417603;0.5662076473236084;1000;0.5655;0.37615469431594034;0.8636363636363636;0.52026286966046;0.71875;0.7343976777939042;0.056179775280898875;0.2631578947368421;0.19272727272727272;0.39849624060150374;0.4009433962264151;0.3811659192825112;0.024691358024691357;0.5;100;17;0.17;26;0.26;31;0.31;14;0.14;3;0.03;9;0.09
sentence-transformers/all-mpnet-base-v2;58.563048362731934;1.6636216640472412;1000;0.592;0.44371408414244756;0.7472727272727273;0.5973837209302325;0.7201704545454546;0.7130801687763713;0.09550561797752809;0.21794871794871795;0.43272727272727274;0.44074074074074077;0.5801886792452831;0.5;0.08641975308641975;1.0;100;17;0.17;26;0.26;31;0.31;14;0.14;3;0.03;9;0.09
sentence-transformers/paraphrase-multilingual-mpnet-base-v2;58.05730938911438;1.7616245746612549;1000;0.655;0.5191961709973026;0.8181818181818182;0.6320224719101124;0.7173295454545454;0.792778649921507;0.14606741573033707;0.3023255813953488;0.6290909090909091;0.574750830564784;0.6933962264150944;0.5833333333333334;0.1111111111111111;0.75;100;17;0.17;26;0.26;31;0.31;14;0.14;3;0.03;9;0.09
WhereIsAI/UAE-Large-V1;225.66903734207153;6.0092339515686035;1000;0.651;0.548751268163184;0.9181818181818182;0.5851680185399768;0.6349431818181818;0.8433962264150944;0.38764044943820225;0.33658536585365856;0.4763636363636364;0.7237569060773481;0.6037735849056604;0.6956521739130435;0.2716049382716049;0.5945945945945946;100;17;0.17;26;0.26;31;0.31;14;0.14;3;0.03;9;0.09
