dataset_name;run_id;setting;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;recall_2;precision_2;recall_3;precision_3;recall_4;precision_4;recall_5;precision_5;dataset_size;abs_4;rel_4;abs_1;rel_1;abs_0;rel_0;abs_3;rel_3;abs_2;rel_2;abs_5;rel_5;active_learning_cycles;samples_per_cycle;initial_sample;active_sampling_strategy;balancing_factor;random_seed;unlabeled_samples;model_name;output_dir;batch_size;num_epochs;max_steps;sampling_strategy;num_iterations;body_learning_rate;head_learning_rate;loss;distance_metric;margin;end_to_end;use_amp;warmup_proportion;l2_weight;max_length;samples_per_label;show_progress_bar;seed;report_to;run_name;logging_dir;logging_strategy;logging_first_step;logging_steps;evaluation_strategy;eval_steps;eval_delay;eval_max_steps;save_strategy;save_steps;save_total_limit;load_best_model_at_end;metric_for_best_model;greater_is_better
dair-ai_emotion;16;max_entropy_balanced;0.543;0.353;0.644;0.554;0.839;0.618;0.056;0.143;0.145;0.270;0.434;0.492;0.000;0.000;48;8;0.17;15;0.31;11;0.23;7;0.15;5;0.10;2;0.04;3;12;balanced;max_entropy;0.25;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;17;max_entropy_balanced;0.533;0.359;0.551;0.587;0.871;0.571;0.084;0.246;0.022;0.300;0.599;0.392;0.025;0.400;48;11;0.23;15;0.31;9;0.19;4;0.08;6;0.12;3;0.06;3;12;balanced;max_entropy;0.25;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;18;random;0.482;0.358;0.649;0.457;0.642;0.601;0.034;0.167;0.109;0.395;0.467;0.327;0.247;0.385;48;8;0.17;13;0.27;15;0.31;5;0.10;3;0.06;4;0.08;3;12;balanced;random;0.0;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;19;random;0.527;0.305;0.760;0.480;0.830;0.581;0.000;0.000;0.011;0.375;0.231;0.426;0.000;0.000;48;7;0.15;18;0.38;16;0.33;3;0.06;2;0.04;2;0.04;3;12;balanced;random;0.0;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;20;max_entropy;0.589;0.431;0.784;0.512;0.741;0.692;0.146;0.371;0.400;0.701;0.354;0.466;0.160;0.765;48;7;0.15;12;0.25;12;0.25;8;0.17;6;0.12;3;0.06;3;12;balanced;max_entropy;0.0;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;21;max_entropy;0.482;0.313;0.613;0.433;0.720;0.612;0.174;0.330;0.160;0.500;0.212;0.212;0.000;0.000;48;9;0.19;15;0.31;10;0.21;7;0.15;6;0.12;1;0.02;3;12;balanced;max_entropy;0.0;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;22;max_entropy_balanced;0.580;0.404;0.769;0.502;0.736;0.673;0.112;0.435;0.451;0.653;0.354;0.493;0.000;0.000;48;7;0.15;11;0.23;13;0.27;10;0.21;6;0.12;1;0.02;3;12;balanced;max_entropy;0.25;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;23;max_entropy_balanced;0.498;0.294;0.698;0.449;0.800;0.561;0.202;0.346;0.000;0.000;0.066;0.438;0.000;0.000;48;7;0.15;15;0.31;12;0.25;4;0.08;9;0.19;1;0.02;3;12;balanced;max_entropy;0.25;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;24;random;0.495;0.296;0.775;0.440;0.717;0.648;0.056;0.233;0.091;0.329;0.099;0.175;0.037;0.214;48;5;0.10;16;0.33;16;0.33;4;0.08;4;0.08;3;0.06;3;12;balanced;random;0.0;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;25;random;0.526;0.461;0.520;0.647;0.591;0.716;0.534;0.253;0.476;0.506;0.557;0.444;0.086;0.091;48;6;0.12;13;0.27;9;0.19;7;0.15;9;0.19;4;0.08;3;12;balanced;random;0.0;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
