accuracy,balanced_accuracy,recall_0,precision_0,recall_1,precision_1,dataset_size,abs_1,rel_1,abs_0,rel_0
0.630,0.626,0.449,0.688,0.804,0.602,2,1,0.50,1,0.50
0.595,0.588,0.213,0.850,0.964,0.559,4,2,0.50,2,0.50
0.580,0.587,0.963,0.541,0.212,0.855,6,3,0.50,3,0.50
0.491,0.500,1.000,0.491,0.000,0.000,8,4,0.50,4,0.50
0.630,0.626,0.449,0.688,0.804,0.602,2,1,0.50,1,0.50
0.595,0.588,0.213,0.850,0.964,0.559,4,2,0.50,2,0.50
0.580,0.587,0.963,0.541,0.212,0.855,6,3,0.50,3,0.50
0.491,0.500,1.000,0.491,0.000,0.000,8,4,0.50,4,0.50
