run_id;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;dataset_size;abs_1;rel_1;abs_0;rel_0
-1;0.574;0.528;0.669;0.681;0.387;0.374;2;1;0.50;1;0.50
-1;0.662;0.500;1.000;0.662;0.000;0.000;4;1;0.25;3;0.75
-1;0.662;0.500;1.000;0.662;0.000;0.000;6;1;0.17;5;0.83
-1;0.662;0.500;1.000;0.662;0.000;0.000;8;1;0.12;7;0.88
-1;0.574;0.528;0.669;0.681;0.387;0.374;2;1;0.50;1;0.50
-1;0.662;0.500;1.000;0.662;0.000;0.000;4;1;0.25;3;0.75
-1;0.662;0.500;1.000;0.662;0.000;0.000;6;1;0.17;5;0.83
-1;0.662;0.500;1.000;0.662;0.000;0.000;8;1;0.12;7;0.88
